question,context,answer
Kapan agama Hindu masuk ke Nusantara?,Agama Hindu masuk ke Nusantara sekitar abad pertama,Sekitar abad pertama
Kapan agama Buddha masuk ke Nusantara?,Agama Buddha mulai masuk ke Nusantara sekitar abad kelima,Sekitar abad kelima
Melalui jalur apa agama Hindu masuk ke Nusantara?,Agama Hindu masuk ke Nusantara melalui jalur perdagangan,Jalur perdagangan
Melalui jalur apa agama Buddha masuk ke Nusantara?,Agama Buddha masuk ke Nusantara melalui jalur perdagangan dan ziarah,Jalur perdagangan dan ziarah
Apa bukti tertua penyebaran Hindu di Nusantara?,Prasasti Yupa adalah bukti tertua penyebaran agama Hindu di Nusantara,Prasasti Yupa
Di mana Prasasti Yupa ditemukan?,"Prasasti Yupa ditemukan di Kutai, Kalimantan Timur","Kutai, Kalimantan Timur"
Siapa yang memperkenalkan konsep dewa raja?,Konsep dewa raja diperkenalkan oleh agama Hindu,Agama Hindu
Apa contoh peninggalan agama Buddha di Jawa Tengah?,Candi Borobudur merupakan peninggalan agama Buddha di Jawa Tengah,Candi Borobudur
Kapan Candi Borobudur dibangun?,Candi Borobudur dibangun pada abad ke 8,Abad ke 8
Kerajaan Hindu tertua di Nusantara?,Kerajaan Hindu tertua di Nusantara adalah Kerajaan Kutai,Kerajaan Kutai
Kerajaan Buddha besar di Sumatra?,Kerajaan Buddha terbesar di Sumatra adalah Kerajaan Sriwijaya,Kerajaan Sriwijaya
Siapa pendiri Kerajaan Kutai?,Maharaja Kudungga adalah pendiri Kerajaan Kutai,Maharaja Kudungga
Apa pengaruh Hindu pada sistem kerajaan?,Sistem kerajaan di Nusantara dipengaruhi oleh konsep kasta dan dewa raja,Konsep kasta dan dewa raja
Apa pengaruh Buddha pada masyarakat Nusantara?,Agama Buddha mengajarkan kesederhanaan dan moralitas kepada masyarakat Nusantara,kesederhanaan dan moralitas
Apa itu sistem kasta?,Sistem kasta adalah penggolongan masyarakat dalam agama Hindu,Penggolongan masyarakat dalam agama Hindu
Apa sastra terkenal dari Hindu yang masuk ke Nusantara?,Ramayana dan Mahabharata adalah sastra terkenal dari agama Hindu,Ramayana dan Mahabharata
Apa bukti masuknya Hindu di Jawa Barat?,Prasasti Ciaruteun adalah bukti masuknya Hindu di Jawa Barat,Prasasti Ciaruteun
Apa itu Indianisasi?,Indianisasi adalah proses penyebaran budaya India di Nusantara,Proses penyebaran budaya India di Nusantara
Apa peran para pedagang dalam penyebaran Hindu Buddha?,Pedagang membawa ajaran agama dan budaya Hindu Buddha ke Nusantara,Membawa ajaran agama dan budaya
Siapa yang membawa agama Buddha ke Nusantara?,Para biksu dan pedagang membawa agama Buddha ke Nusantara,Para biksu dan pedagang
Apa itu prasasti?,Prasasti adalah tulisan di batu yang berisi informasi sejarah,Tulisan di batu yang berisi informasi sejarah
Siapa raja terkenal dari Kerajaan Sriwijaya?,Raja Balaputradewa adalah raja terkenal dari Kerajaan Sriwijaya,Raja Balaputradewa
Apa fungsi Candi Borobudur?,Candi Borobudur berfungsi sebagai tempat ibadah dan ziarah agama Buddha,Tempat ibadah dan ziarah agama Buddha
Apa contoh candi Hindu di Nusantara?,Candi Prambanan adalah salah satu contoh candi Hindu di Nusantara,Candi Prambanan
Apa pengaruh agama Hindu pada seni?,Agama Hindu berpengaruh pada seni pembuatan candi dan relief,Pembuatan candi dan relief
Apa itu brahmana?,Brahmana adalah golongan pendeta dalam agama Hindu,Golongan pendeta dalam agama Hindu
Siapa pendeta yang menyebarkan Buddha di Nusantara?,Biksu dari India dan Cina menyebarkan agama Buddha di Nusantara,Biksu dari India dan Cina
Apa bukti pengaruh India dalam bahasa?,Penggunaan bahasa Sanskerta di prasasti menunjukkan pengaruh India,Penggunaan bahasa Sanskerta di prasasti
Apa yang dimaksud dengan dewa raja?,Dewa raja adalah konsep raja sebagai perwujudan dewa dalam Hindu,Konsep raja sebagai perwujudan dewa
Apa itu Mahayana?,Mahayana adalah aliran Buddha yang berkembang di Nusantara,Aliran Buddha yang berkembang di Nusantara
